section                          count  total_ms  mean_ms   max_ms
doSomeWork                        2432    8358.0     3.44     13.7
drainAndFeed                      2432    7315.0     3.01     13.2
Choreographer#doFrame              492    7065.7    14.36    380.6
DrawFrame                          375    4595.4    12.25     29.9
traversal                          359    3898.6    10.86    285.1
draw                               387    3304.8     8.54    126.9
animation                          409    2703.1     6.61    161.9
Record View#draw()                 385    1575.4     4.09    125.9
Recomposer:recompose               325    1423.8     4.38    157.4
AndroidOwner:measureAndLayout      304    1378.8     4.54    103.3
Compose:recompose                  493    1295.7     2.63    113.7
flush commands                     402     942.7     2.34      7.8
AndroidOwner:onTouch               129     398.2     3.09     28.8
input                              345     388.7     1.13      8.9
Recomposer:animation               205     370.7     1.81     28.2
dispatchFrameCallbacks              41     369.2     9.00     19.5
prepareAndDraw                      29     366.0    12.62     19.4
Compose:applyChanges               284     321.3     1.13     32.3
TextStringSimpleNode::measure      232     226.3     0.98      3.5
syncFrameState                     375     224.5     0.60      2.7
prepareTree                        404     182.2     0.45      2.3
measure                             18     154.4     8.58    119.7
TextLayout:initLayout              318     134.3     0.42      1.9
AndroidOwner:onMeasure               6     119.7    19.94    118.3
compose:lazy:prefetch:compose       18      74.3     4.13      9.6
compose:lazy:prefetch:execute:urgent    30      68.6     2.29     14.2
layout                              14      64.2     4.59     23.5
Compose:onRemembered                59      47.6     0.81     26.1
Bitmap#prepareToDraw 63x63          45      47.3     1.05      2.0
relayoutWindow: tech.capullo.telecloudradio     2      43.9    21.94     28.3
AndroidOwner:outOfFrameExecutor     30      43.7     1.46      5.7
Compose:deactivate                  38      37.7     0.99      1.9
Compose:onForgotten                 59      35.3     0.60      8.2
PausedComposition:applyChanges      11      31.7     2.88      4.0
compose:lazy:prefetch:measure        4      22.3     5.59      7.0
FocusTransactions:requestFocus       1      21.7    21.72     21.7
VM.positionTick                     49      18.9     0.39      0.8
Sheet.dateOptions                    1      18.4    18.37     18.4
serviceBind                          5      17.4     3.49      9.0
Filters.monthKey                    28      17.0     0.61      1.0
Compose:sideeffects                126      14.8     0.12      1.9
compose:lazy:prefetch:apply          4      13.3     3.34      4.3
providerRemove                       2      13.0     6.48      6.8
